2026-03-29 18:32:52.135 [main] INFO  com.itheima.TliasWebManagementApplication-Starting TliasWebManagementApplication using Java 17.0.17 with PID 2956 (D:\JAVAweb\web-ai-project02\tlias-web-management\target\classes started by 27628 in D:\JAVAweb\web-ai-project02)
2026-03-29 18:32:52.137 [main] INFO  com.itheima.TliasWebManagementApplication-No active profile set, falling back to 1 default profile: "default"
2026-03-29 18:32:53.285 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2026-03-29 18:32:53.306 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2026-03-29 18:32:53.308 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2026-03-29 18:32:53.309 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.52]
2026-03-29 18:32:53.412 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2026-03-29 18:32:53.413 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 1222 ms
2026-03-29 18:32:54.052 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2026-03-29 18:32:54.077 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2026-03-29 18:32:54.086 [main] INFO  com.itheima.TliasWebManagementApplication-Started TliasWebManagementApplication in 2.504 seconds (process running for 3.608)
2026-03-29 18:33:25.506 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown-Commencing graceful shutdown. Waiting for active requests to complete
2026-03-29 18:33:26.983 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown-Graceful shutdown complete
2026-03-29 18:44:12.791 [main] INFO  com.itheima.TliasWebManagementApplication-Starting TliasWebManagementApplication using Java 17.0.17 with PID 19064 (D:\JAVAweb\web-ai-project02\tlias-web-management\target\classes started by 27628 in D:\JAVAweb\web-ai-project02)
2026-03-29 18:44:12.794 [main] INFO  com.itheima.TliasWebManagementApplication-No active profile set, falling back to 1 default profile: "default"
2026-03-29 18:44:13.849 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2026-03-29 18:44:13.864 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2026-03-29 18:44:13.867 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2026-03-29 18:44:13.867 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.52]
2026-03-29 18:44:13.950 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2026-03-29 18:44:13.952 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 1111 ms
2026-03-29 18:44:14.523 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2026-03-29 18:44:14.550 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2026-03-29 18:44:14.560 [main] INFO  com.itheima.TliasWebManagementApplication-Started TliasWebManagementApplication in 2.267 seconds (process running for 3.159)
2026-03-29 18:45:17.618 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-29 18:45:17.619 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2026-03-29 18:45:17.621 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 1 ms
2026-03-29 18:45:30.278 [http-nio-8080-exec-3] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:45:30.309 [http-nio-8080-exec-3] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Starting...
2026-03-29 18:45:30.953 [http-nio-8080-exec-3] INFO  com.zaxxer.hikari.pool.HikariPool-HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@69663c17
2026-03-29 18:45:30.958 [http-nio-8080-exec-3] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Start completed.
2026-03-29 18:45:34.849 [http-nio-8080-exec-5] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:45:41.001 [http-nio-8080-exec-7] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:45:41.705 [http-nio-8080-exec-8] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:45:42.084 [http-nio-8080-exec-10] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:45:42.723 [http-nio-8080-exec-1] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:45:43.063 [http-nio-8080-exec-2] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:45:43.808 [http-nio-8080-exec-4] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:45:44.088 [http-nio-8080-exec-5] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:46:08.223 [http-nio-8080-exec-2] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:48:10.234 [http-nio-8080-exec-8] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
